report_date,period_type,source_filename,schema_version,source_page,disease_raw,disease,district_code,district_reported_count,locality_text,raw_text,district_name
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,locality_v1,2,Dengue,Dengue,TVM,20,"Nemom, Malayinkeezhu, Attukal, Veli, Nanthancode, Pangappara - 3, Thonnakkal, Edava, Manickal, Vembayam, Pallickal, Madavoor, Kizhuvillam, Venpakal, Kalippankulam, Kunnathukal, Poovar, Attingal","Dengue | 79 | 1 | TVM: | 20 | Nemom, Malayinkeezhu, Attukal, Veli, Nanthancode, Pangappara - 3, Thonnakkal, Edava, Manickal, Vembayam, Pallickal, Madavoor, Kizhuvillam, Venpakal, Kalippankulam, Kunnathukal, Poovar, Attingal",Thiruvananthapuram
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,locality_v1,2,Dengue,Dengue,KLM,11,"Kilikolloor 1, KS Puram 2 ,Perinad 1 ,Pooyappally 1 ,Thalavoor 1 ,Uliyakkovil 1 ,vaddy 2, Veliyam 1, Nedumonkavu-1","KLM: | 11 | Kilikolloor 1, KS Puram 2 ,Perinad 1 ,Pooyappally 1 ,Thalavoor 1 ,Uliyakkovil 1 ,vaddy 2, Veliyam 1, Nedumonkavu-1",Kollam
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,locality_v1,2,Dengue,Dengue,PTA,3,"Ranni, Pandalam, Kulanada","PTA: | 3 | Ranni, Pandalam, Kulanada",Pathanamthitta
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,locality_v1,2,Dengue,Dengue,IDK,1,THODUPUZHA,IDK: | 1 | THODUPUZHA,Idukki
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,locality_v1,2,Dengue,Dengue,EKM,7,"Thripunithura-3, Binanipuram-2, Kadungalloor, Eloor","EKM: | 7 | Thripunithura-3, Binanipuram-2, Kadungalloor, Eloor",Ernakulam
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,locality_v1,2,Dengue,Dengue,TSR,22,"Avanur 1, Chalakudy Muncipality 2, Cherpu 1, Choondal 1, Irinjalakkuda Muncipality 1, Kaiparambu 1, Kodakara 2, Kodassery 2, Mattathur 1, Pariyaram 2, Pazhayannur 1, Perinjanam 1, Thrikkur 1, Thrissur Corporation 5","TSR: | 22 | Avanur 1, Chalakudy Muncipality 2, Cherpu 1, Choondal 1, Irinjalakkuda Muncipality 1, Kaiparambu 1, Kodakara 2, Kodassery 2, Mattathur 1, Pariyaram 2, Pazhayannur 1, Perinjanam 1, Thrikkur 1, Thrissur Corporation 5",Thrissur
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,locality_v1,2,Dengue,Dengue,PKD,3,"Palakkad, Pudussery, Pirayiri","PKD: | 3 | Palakkad, Pudussery, Pirayiri",Palakkad
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,locality_v1,2,Dengue,Dengue,MPM,10,"Anakkayam, Porur , Thiruvally , Thevarkadapuram, Thenchipalam , Nannambra , Peruvallur -2, Amarambalam, Pulikkal,","MPM | 10 | Anakkayam, Porur , Thiruvally , Thevarkadapuram, Thenchipalam , Nannambra , Peruvallur -2, Amarambalam, Pulikkal,",Malappuram
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,locality_v1,2,Dengue,Dengue,WYD,1,Chethalayam,WYD | 1 | Chethalayam,Wayanad
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,locality_v1,2,Dengue,Dengue,KNR,1,CHERUKUNNU,KNR | 1 | CHERUKUNNU,Kannur
