report_date,period_type,source_filename,schema_version,source_page,serial_number,disease_raw,subtype_raw,daily_suspected_cases,daily_suspected_deaths,daily_confirmed,daily_deaths,month_suspected_cases,month_suspected_deaths,month_confirmed,month_deaths,cumulative_suspected_cases,cumulative_suspected_deaths,cumulative_confirmed,cumulative_deaths,disease,subtype
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,1,Fever,,0,0,12480,0,0,0,12480,0,0,0,1824949,9,Fever,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,2,Malaria,Ind.,0,0,0,0,0,0,0,0,0,0,4,1,Malaria,indigenous
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,2,Malaria,Imp.,0,0,5,0,0,0,5,0,0,0,804,3,Malaria,imported
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,3,Dengue Fever,,174,0,79,1,174,0,79,1,27530,25,10047,40,Dengue,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,4,Chikungunya,,0,0,1,0,0,0,1,0,63,0,154,1,Chikungunya,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,5,Con JE,,,,0,0,,,0,0,,,8,4,Japanese Encephalitis,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,6,AES,,,,0,0,,,0,0,,,101,23,Acute Encephalitis Syndrome,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,7,Leptospirosis,,11,0,18,2,11,0,18,2,1170,70,1832,90,Leptospirosis,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,8,Hepatitis-A,,41,0,17,1,41,0,17,1,8386,10,5390,39,Hepatitis A,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,9,Hepatitis-E,,0,0,0,0,0,0,0,0,0,0,22,1,Hepatitis E,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,10,Cholera,,0,0,0,0,0,0,0,0,0,0,0,0,Cholera,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,11,Typhoid,,4,0,0,0,4,0,0,0,1224,2,192,1,Typhoid,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,12,ADD,,0,0,1793,0,0,0,1793,0,0,0,438100,8,Acute Diarrhoeal Disease,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,13,Measles,,0,0,1,0,0,0,1,0,605,0,308,1,Measles,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,14,Mumps,,0,0,10,0,0,0,10,0,0,0,5985,0,Mumps,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,15,Chicken Pox,,0,0,83,0,0,0,83,0,0,0,28478,9,Chickenpox,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,16,Influenza,,0,0,82,1,,,82,1,,,8852,100,Influenza,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,17,Scrub Typhus,,0,0,2,0,0,0,2,0,89,0,469,10,Scrub Typhus,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,18,Diphtheria,,0,0,0,0,0,0,0,0,6,0,1,0,Diphtheria,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,19,Rabies,,0,0,0,0,0,0,0,0,0,0,13,13,Rabies,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,20,Zika,,0,0,0,0,0,0,0,0,0,0,1,0,Zika,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,21,Nipah,,0,0,0,0,0,0,0,0,0,0,1,0,Nipah,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,22,M Pox,,0,0,0,0,0,0,0,0,0,0,8,0,Mpox,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,23,Shigella,,0,0,2,0,0,0,2,0,106,0,461,8,Shigella,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,24,West Nile,,0,0,0,0,0,0,0,0,29,4,10,0,West Nile,
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,state_v1,3,25,Amebic Meningoencephalitis,,0,0,0,1,0,0,0,1,0,0,168,44,Amoebic Meningoencephalitis,
