report_date,period_type,source_filename,schema_version,source_page,geography_level,district_code,district_name,disease,metric,subtype,value,source_column
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Fever,outpatient,,786,fever_op
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Fever,inpatient,,13,fever_ip
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Chikungunya,suspected,,0,chikungunya_suspected
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Chikungunya,confirmed,,1,chikungunya_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Chikungunya,deaths,,0,chikungunya_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Dengue,suspected,,29,dengue_suspected
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Dengue,confirmed,,20,dengue_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Dengue,deaths,,1,dengue_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Leptospirosis,suspected,,0,leptospirosis_suspected
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Leptospirosis,confirmed,,3,leptospirosis_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Leptospirosis,deaths,,0,leptospirosis_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Acute Diarrhoeal Disease,confirmed,,128,add_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Chickenpox,confirmed,,5,chickenpox_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Hepatitis A,confirmed,,0,hepatitis_a_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Cholera,suspected,,0,cholera_suspected_cases
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Cholera,suspected_deaths,,0,cholera_suspected_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Cholera,confirmed,,0,cholera_confirmed_cases
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Cholera,deaths,,0,cholera_confirmed_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Acute Encephalitis Syndrome,confirmed,,0,aes_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Japanese Encephalitis,confirmed,,0,je_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Malaria,confirmed,PV imported,0,malaria_pv_imported
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Malaria,confirmed,PV indigenous,0,malaria_pv_indigenous
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Malaria,confirmed,PF imported,0,malaria_pf_imported
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Malaria,confirmed,PF indigenous,0,malaria_pf_indigenous
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Malaria,confirmed,Mixed imported,0,malaria_mixed_imported
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Malaria,confirmed,Mixed indigenous,0,malaria_mixed_indigenous
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Malaria,deaths,,0,malaria_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Scrub Typhus,confirmed,,1,scrub_typhus_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,TVM,Thiruvananthapuram,Influenza,confirmed,,11,influenza_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Fever,outpatient,,487,fever_op
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Fever,inpatient,,1,fever_ip
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Chikungunya,suspected,,0,chikungunya_suspected
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Chikungunya,confirmed,,0,chikungunya_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Chikungunya,deaths,,0,chikungunya_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Dengue,suspected,,18,dengue_suspected
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Dengue,confirmed,,11,dengue_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Dengue,deaths,,0,dengue_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Leptospirosis,suspected,,0,leptospirosis_suspected
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Leptospirosis,confirmed,,2,leptospirosis_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Leptospirosis,deaths,,0,leptospirosis_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Acute Diarrhoeal Disease,confirmed,,72,add_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Chickenpox,confirmed,,8,chickenpox_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Hepatitis A,confirmed,,3,hepatitis_a_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Cholera,suspected,,0,cholera_suspected_cases
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Cholera,suspected_deaths,,0,cholera_suspected_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Cholera,confirmed,,0,cholera_confirmed_cases
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Cholera,deaths,,0,cholera_confirmed_deaths
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Acute Encephalitis Syndrome,confirmed,,0,aes_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Japanese Encephalitis,confirmed,,0,je_confirmed
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Malaria,confirmed,PV imported,0,malaria_pv_imported
2026-09-01,daily,IDSP-Daily-Report-01.09.2026.pdf,daily_v1,2,district,KLM,Kollam,Malaria,confirmed,PV indigenous,0,malaria_pv_indigenous
